iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
188,0.62,0.3167,-0.0153,10.9998,502.69,1968.81,0.5766,4.399,17.118,0.2253,8.1417,-3.4728,-0.002,-0.5779,-0.2413,-0.7484,-0.2313,-0.3412,-0.0169,-0.1109,3.487,1.4344,0.4864,0.9673,0.0327,0.0,22226400.0
189,0.61,0.3352,-0.0146,10.9796,505.12,1970.13,0.5636,4.4018,18.0955,0.2216,7.7826,-3.5072,-0.0019,-0.5727,-0.2398,-0.6947,-0.1712,-0.4075,-0.0161,-0.1096,3.4974,1.3065,0.4966,0.967,0.033,0.0,22344000.0
190,0.61,0.3639,-0.0135,10.9505,514.72,1976.26,0.574,4.3826,18.0806,0.2162,8.2407,-3.4737,-0.0018,-0.5801,-0.241,-0.7444,-0.2961,-0.3304,-0.0175,-0.1141,3.509,1.2332,0.4894,0.9669,0.0331,0.0,22461600.0
191,0.61,0.37,-0.0135,10.9325,515.52,1971.56,0.584,4.4115,18.5617,0.2177,8.1928,-3.509,-0.002,-0.5818,-0.2469,-0.735,-0.2448,-0.3605,-0.0171,-0.1127,3.5201,1.2427,0.5076,0.9666,0.0334,0.0,22579200.0
192,0.61,0.3769,-0.0136,10.8933,515.52,1972.13,0.5707,4.3157,18.3219,0.2031,7.9083,-3.4367,-0.002,-0.5637,-0.2472,-0.7579,-0.2663,-0.3648,-0.0171,-0.1127,3.5319,1.1804,0.4993,0.966,0.034,0.0,22696800.0
193,0.61,0.3078,-0.0154,10.8602,513.72,1976.83,0.5836,4.4506,18.1936,0.2229,8.4444,-3.5166,-0.0019,-0.5761,-0.2374,-0.7136,-0.1936,-0.3277,-0.0166,-0.1134,3.5424,1.2921,0.4843,0.9657,0.0343,0.0,22814400.0
194,0.61,0.3049,-0.0138,10.8367,515.26,2000.0,0.5933,4.4243,17.8377,0.2188,8.3202,-3.5336,-0.002,-0.5927,-0.2496,-0.7411,-0.2524,-0.3325,-0.0172,-0.1163,3.5543,1.3834,0.5105,0.9657,0.0343,0.0,22932000.0
195,0.6,0.3089,-0.0147,10.8031,518.47,2000.0,0.5748,4.4436,18.7516,0.2168,8.1993,-3.5305,-0.0018,-0.5714,-0.2379,-0.7505,-0.2212,-0.3587,-0.0168,-0.1155,3.5641,1.1923,0.4914,0.9657,0.0343,0.0,23049600.0
196,0.6,0.302,-0.0164,10.7689,521.77,2000.0,0.6026,4.4234,18.019,0.2174,8.294,-3.5277,-0.0021,-0.5958,-0.2497,-0.7581,-0.3131,-0.3328,-0.0179,-0.1191,3.5747,1.3665,0.5099,0.9657,0.0343,0.0,23167200.0
197,0.6,0.3552,-0.0147,10.7426,510.18,1982.28,0.5948,4.3308,17.9482,0.2162,8.2581,-3.4437,-0.002,-0.598,-0.2487,-0.6935,-0.1989,-0.3042,-0.0163,-0.114,3.5851,1.229,0.499,0.9655,0.0345,0.0,23284800.0
198,0.6,0.3041,-0.0154,10.7035,515.51,1982.28,0.5967,4.4306,18.5644,0.2165,8.3035,-3.5293,-0.002,-0.5951,-0.2495,-0.7189,-0.2258,-0.3395,-0.017,-0.1173,3.5986,1.267,0.5037,0.9653,0.0347,0.0,23402400.0
199,0.6,0.3884,-0.0119,10.664,517.31,1972.9,0.5862,4.2702,17.868,0.2148,8.1648,-3.4059,-0.0019,-0.595,-0.245,-0.7143,-0.2745,-0.3093,-0.0171,-0.1162,3.6078,1.2582,0.5114,0.9652,0.0348,0.0,23520000.0
200,0.6,0.3542,-0.0143,10.6383,512.05,1953.81,0.5844,4.4113,18.479,0.2211,8.2837,-3.5086,-0.0019,-0.5931,-0.2443,-0.7304,-0.2379,-0.3393,-0.017,-0.1171,3.6167,1.2398,0.4908,0.965,0.035,0.0,23637600.0
201,0.59,0.3568,-0.0141,10.6087,525.59,1977.5,0.5928,4.4348,18.8977,0.2174,8.2552,-3.5151,-0.002,-0.5953,-0.2458,-0.706,-0.2277,-0.3453,-0.017,-0.1184,3.6279,1.2691,0.4929,0.9649,0.0351,0.0,23755200.0
202,0.59,0.3334,-0.0136,10.5697,525.4,1984.58,0.5949,4.3681,18.2788,0.2142,8.2805,-3.4756,-0.0021,-0.6,-0.2476,-0.7474,-0.2729,-0.3155,-0.0173,-0.1202,3.639,1.3055,0.5043,0.9646,0.0354,0.0,23872800.0
203,0.59,0.3131,-0.0175,10.5397,534.22,1987.99,0.613,4.4268,19.0511,0.2281,8.6408,-3.5251,-0.0019,-0.615,-0.2429,-0.7227,-0.2561,-0.2878,-0.0172,-0.1225,3.6487,1.2361,0.5067,0.9645,0.0355,0.0,23990400.0
204,0.59,0.3374,-0.0141,10.5019,529.7,1990.72,0.5914,4.4105,18.385,0.2184,8.3151,-3.5055,-0.0019,-0.6057,-0.2482,-0.7093,-0.2194,-0.332,-0.0167,-0.1206,3.6617,1.239,0.4993,0.9643,0.0357,0.0,24108000.0
205,0.59,0.3808,-0.0132,10.4676,532.66,1983.05,0.5883,4.2815,18.5501,0.2122,8.0714,-3.3984,-0.002,-0.6062,-0.2449,-0.704,-0.23,-0.3147,-0.0165,-0.1178,3.6771,1.116,0.4949,0.9642,0.0358,0.0,24225600.0
206,0.59,0.3118,-0.0145,10.433,547.28,1983.05,0.6122,4.4217,18.9673,0.2197,8.4968,-3.511,-0.002,-0.6058,-0.2519,-0.7354,-0.2684,-0.3055,-0.0174,-0.1217,3.6876,1.184,0.5121,0.9639,0.0361,0.0,24343200.0
207,0.58,0.4464,-0.0131,10.4072,529.59,1970.14,0.5843,4.2059,17.4056,0.2085,8.0248,-3.3244,-0.0019,-0.5926,-0.2424,-0.6708,-0.1908,-0.2985,-0.0158,-0.1145,3.6974,1.2446,0.4814,0.9635,0.0365,0.0,24460800.0
208,0.58,0.4074,-0.0114,10.3728,518.76,1957.22,0.6038,4.3717,18.5191,0.2186,8.2639,-3.4709,-0.002,-0.6128,-0.238,-0.6812,-0.1972,-0.3183,-0.0165,-0.1195,3.7057,1.2383,0.5067,0.9629,0.0371,0.0,24578400.0
209,0.58,0.3762,-0.013,10.354,526.41,1971.47,0.5963,4.4077,18.3154,0.2173,8.3942,-3.4942,-0.0019,-0.6046,-0.2411,-0.7039,-0.21,-0.3208,-0.0167,-0.12,3.7171,1.2647,0.4955,0.9626,0.0374,0.0,24696000.0
210,0.58,0.3734,-0.0123,10.3214,535.07,1974.6,0.6245,4.3982,18.7199,0.214,8.4025,-3.4892,-0.0021,-0.6202,-0.2507,-0.691,-0.2214,-0.3051,-0.0169,-0.1222,3.7306,1.2037,0.5106,0.9621,0.0379,0.0,24813600.0
211,0.58,0.4144,-0.0127,10.2985,526.32,1974.06,0.6209,4.2931,16.8558,0.2058,8.1523,-3.4009,-0.002,-0.6168,-0.2528,-0.7134,-0.2239,-0.3048,-0.0166,-0.1192,3.7401,1.4164,0.4966,0.9618,0.0382,0.0,24931200.0
212,0.58,0.467,-0.0115,10.2676,512.13,1957.1,0.5919,4.3406,17.7063,0.2056,8.3315,-3.4431,-0.002,-0.5818,-0.2455,-0.7201,-0.2259,-0.3072,-0.0167,-0.1205,3.7486,1.2989,0.4892,0.9613,0.0387,0.0,25048800.0
213,0.58,0.3532,-0.0136,10.2307,515.49,1950.32,0.6123,4.3881,19.4042,0.2092,8.4075,-3.4751,-0.002,-0.6105,-0.2495,-0.7364,-0.2586,-0.3088,-0.0173,-0.1236,3.7561,1.0614,0.4998,0.9608,0.0392,0.0,25166400.0
214,0.57,0.3727,-0.0133,10.1817,525.06,1966.66,0.6333,4.3874,18.8179,0.2184,8.4449,-3.4525,-0.002,-0.6401,-0.2476,-0.7188,-0.2205,-0.2979,-0.0167,-0.1248,3.7618,1.1863,0.5062,0.9607,0.0393,0.0,25284000.0
215,0.57,0.4506,-0.0126,10.1598,520.88,1962.22,0.6235,4.3326,18.1631,0.2129,8.3126,-3.4105,-0.002,-0.6238,-0.2439,-0.7134,-0.2505,-0.294,-0.0169,-0.1236,3.7701,1.2447,0.4935,0.9606,0.0394,0.0,25401600.0
216,0.57,0.3377,-0.0151,10.1247,535.35,1977.73,0.6239,4.4244,19.1824,0.2158,8.5999,-3.4898,-0.002,-0.623,-0.2478,-0.7184,-0.2431,-0.2955,-0.0171,-0.1263,3.7782,1.2093,0.5097,0.9603,0.0397,0.0,25519200.0
217,0.57,0.3664,-0.0146,10.1051,536.42,1994.74,0.6186,4.409,19.5587,0.215,8.3872,-3.4717,-0.0021,-0.6182,-0.2455,-0.72,-0.2617,-0.3177,-0.0173,-0.1264,3.7886,1.0633,0.4985,0.9603,0.0397,0.0,25636800.0
218,0.57,0.336,-0.0148,10.0774,530.98,2000.0,0.5903,4.438,18.721,0.2169,8.3901,-3.4986,-0.0019,-0.6083,-0.2409,-0.6967,-0.2418,-0.3373,-0.0172,-0.1244,3.8002,1.2235,0.4972,0.9604,0.0396,0.0,25754400.0
219,0.57,0.4325,-0.0145,10.0479,519.45,1983.55,0.6189,4.331,18.6289,0.1974,7.9998,-3.413,-0.0022,-0.6336,-0.2567,-0.7256,-0.2544,-0.3531,-0.0172,-0.1243,3.8084,1.2069,0.5218,0.9607,0.0393,0.0,25872000.0
220,0.56,0.4994,-0.0119,10.0158,522.79,1942.75,0.6019,4.178,17.5875,0.2028,8.0371,-3.2716,-0.0019,-0.5962,-0.2372,-0.6678,-0.2459,-0.2801,-0.0164,-0.1198,3.8172,1.1112,0.4708,0.9605,0.0395,0.0,25989600.0
221,0.56,0.3662,-0.0132,9.9865,536.77,1948.6,0.6301,4.4009,19.4947,0.2096,8.4327,-3.4486,-0.0021,-0.6304,-0.2508,-0.7687,-0.2366,-0.3054,-0.0171,-0.127,3.8253,1.0948,0.5063,0.9606,0.0394,0.0,26107200.0
222,0.56,0.4344,-0.0135,9.9538,543.12,1967.8,0.6246,4.3662,19.1425,0.2084,8.2514,-3.4132,-0.0021,-0.6326,-0.2484,-0.716,-0.259,-0.3154,-0.0173,-0.1276,3.8336,1.1488,0.5001,0.9609,0.0391,0.0,26224800.0
223,0.56,0.4118,-0.0114,9.9416,522.06,1944.32,0.6445,4.3489,18.3157,0.2105,8.3052,-3.398,-0.0022,-0.6508,-0.2512,-0.7101,-0.2847,-0.2981,-0.0175,-0.1289,3.842,1.1969,0.5137,0.9615,0.0385,0.0,26342400.0
224,0.56,0.4198,-0.0136,9.9178,516.97,1928.4,0.6317,4.3185,18.4416,0.1995,8.2777,-3.3721,-0.0021,-0.6209,-0.2545,-0.7046,-0.2521,-0.295,-0.0171,-0.1251,3.8498,1.245,0.5051,0.9614,0.0386,0.0,26460000.0
225,0.56,0.339,-0.0151,9.8768,531.78,1998.55,0.6478,4.4241,18.6799,0.2109,8.4838,-3.4563,-0.0022,-0.6408,-0.2575,-0.7154,-0.2378,-0.2983,-0.0174,-0.1276,3.8617,1.2035,0.5102,0.9622,0.0378,0.0,26577600.0
226,0.56,0.3787,-0.0149,9.8504,532.94,1970.42,0.6168,4.388,18.6317,0.2123,8.4672,-3.4178,-0.002,-0.6151,-0.2463,-0.7128,-0.2199,-0.2993,-0.0167,-0.1251,3.8712,1.1799,0.488,0.963,0.037,0.0,26695200.0
227,0.56,0.4272,-0.0142,9.82,521.77,1948.47,0.6302,4.3366,18.7801,0.1956,8.2816,-3.3934,-0.0021,-0.6189,-0.2557,-0.7574,-0.2643,-0.3096,-0.0174,-0.1263,3.8796,1.1829,0.5093,0.9634,0.0366,0.0,26812800.0
228,0.55,0.3932,-0.015,9.7772,528.39,1968.62,0.6476,4.3823,19.2957,0.2124,8.3351,-3.4007,-0.0021,-0.6491,-0.2516,-0.6723,-0.2275,-0.3082,-0.0168,-0.1282,3.889,1.1365,0.5116,0.9636,0.0361,0.0003,26930400.0
229,0.55,0.3847,-0.0133,9.7494,540.27,1997.67,0.6246,4.4269,19.134,0.204,8.5159,-3.4512,-0.0021,-0.6186,-0.2517,-0.7408,-0.2737,-0.3065,-0.0175,-0.1295,3.8995,1.1553,0.5035,0.9641,0.0355,0.0004,27048000.0
230,0.55,0.3692,-0.0128,9.7166,530.21,1952.52,0.6286,4.1718,17.9362,0.2007,7.9324,-3.2209,-0.0021,-0.6274,-0.2429,-0.6611,-0.2633,-0.2879,-0.0166,-0.1237,3.909,1.1631,0.4908,0.9644,0.0352,0.0004,27165600.0
231,0.55,0.3319,-0.0153,9.6795,533.19,1986.07,0.6498,4.4183,19.2891,0.2059,8.4696,-3.4229,-0.0022,-0.6473,-0.262,-0.7219,-0.258,-0.3031,-0.0175,-0.1315,3.9201,1.1816,0.5164,0.9647,0.0349,0.0004,27283200.0
232,0.55,0.3308,-0.0155,9.6671,545.98,2000.0,0.6444,4.4387,18.9383,0.2069,8.5505,-3.4171,-0.002,-0.6373,-0.2466,-0.7343,-0.2442,-0.2984,-0.0172,-0.1297,3.9238,1.2683,0.4953,0.9653,0.0342,0.0004,27400800.0
233,0.55,0.3342,-0.0148,9.6489,541.56,2000.0,0.6354,4.4415,19.5068,0.2072,8.5425,-3.4287,-0.0021,-0.6325,-0.2524,-0.7542,-0.3139,-0.2997,-0.0181,-0.1321,3.9318,1.1366,0.4939,0.9668,0.0328,0.0004,27518400.0
234,0.55,0.3301,-0.0153,9.6175,543.84,2000.0,0.6131,4.4767,19.4528,0.2139,8.6833,-3.4446,-0.0018,-0.5957,-0.2319,-0.7006,-0.2177,-0.2933,-0.0167,-0.127,3.9391,1.1314,0.4591,0.9674,0.0322,0.0004,27636000.0
235,0.54,0.4018,-0.0124,9.5916,543.72,1972.43,0.6024,4.3873,18.9484,0.2091,8.4349,-3.3773,-0.0018,-0.5923,-0.2345,-0.6847,-0.1938,-0.3022,-0.0165,-0.1244,3.9482,1.189,0.4648,0.9675,0.032,0.0004,27753600.0
236,0.54,0.3372,-0.0146,9.5537,546.76,1972.43,0.6456,4.4501,19.3167,0.2154,8.4501,-3.4053,-0.0021,-0.64,-0.2419,-0.6655,-0.1801,-0.3084,-0.0163,-0.1263,3.9535,1.15,0.4846,0.9678,0.0318,0.0004,27871200.0
237,0.54,0.3612,-0.0131,9.5332,541.73,1983.36,0.6202,4.4254,18.7339,0.2136,8.5392,-3.3844,-0.0019,-0.6066,-0.2407,-0.691,-0.2304,-0.2934,-0.0168,-0.1278,3.9627,1.2135,0.4678,0.9688,0.0308,0.0004,27988800.0
238,0.54,0.3382,-0.0153,9.5236,537.68,2000.0,0.6471,4.4364,19.0994,0.2087,8.5303,-3.39,-0.0022,-0.6324,-0.2437,-0.7328,-0.2919,-0.297,-0.0178,-0.1321,3.9729,1.2193,0.4981,0.9694,0.0302,0.0004,28106400.0
239,0.54,0.3378,-0.0167,9.4887,555.08,2000.0,0.6463,4.4425,19.9518,0.2094,8.5348,-3.3985,-0.0021,-0.6378,-0.2452,-0.6804,-0.2273,-0.2989,-0.0169,-0.1302,3.9822,1.0848,0.4923,0.9699,0.0297,0.0004,28224000.0
240,0.54,0.3772,-0.0149,9.4508,560.69,1979.81,0.6504,4.3912,19.8902,0.2065,8.3293,-3.3277,-0.0021,-0.6326,-0.2472,-0.6923,-0.2382,-0.3001,-0.017,-0.1289,3.992,1.0825,0.477,0.97,0.0294,0.0005,28341600.0
241,0.54,0.4261,-0.0132,9.4229,544.5,1955.54,0.6439,4.363,19.3944,0.2041,8.3577,-3.312,-0.0021,-0.633,-0.2436,-0.7248,-0.2871,-0.289,-0.0174,-0.1303,4.0001,1.1705,0.4791,0.9704,0.029,0.0006,28459200.0
242,0.54,0.3229,-0.0149,9.3945,538.98,1963.96,0.6366,4.4086,18.6211,0.2113,8.4917,-3.3388,-0.002,-0.619,-0.256,-0.6755,-0.194,-0.2918,-0.0165,-0.1278,4.0068,1.2246,0.4778,0.9705,0.0289,0.0006,28576800.0
243,0.53,0.3247,-0.0165,9.3672,548.06,2000.0,0.6655,4.434,19.2441,0.2115,8.394,-3.3369,-0.0023,-0.6625,-0.2563,-0.7001,-0.2294,-0.3072,-0.0171,-0.131,4.0159,1.211,0.5006,0.971,0.0284,0.0006,28694400.0
244,0.53,0.3287,-0.0146,9.3291,560.04,2000.0,0.6519,4.4591,19.9152,0.2135,8.5557,-3.3677,-0.0021,-0.6318,-0.2436,-0.7055,-0.2558,-0.2926,-0.0173,-0.1313,4.0212,1.1164,0.4771,0.9716,0.0277,0.0006,28812000.0
245,0.53,0.3963,-0.0139,9.2957,548.89,1976.5,0.6389,4.3734,18.6665,0.2063,8.3583,-3.2833,-0.0021,-0.6211,-0.241,-0.6961,-0.2187,-0.2921,-0.0167,-0.1269,4.0293,1.1452,0.4644,0.9718,0.0276,0.0006,28929600.0
246,0.53,0.3739,-0.0135,9.273,538.06,1963.83,0.6402,4.2617,18.186,0.1994,8.1456,-3.1893,-0.0021,-0.6231,-0.2458,-0.6828,-0.2358,-0.285,-0.0166,-0.1251,4.0384,1.2041,0.4706,0.9719,0.0272,0.0009,29047200.0
247,0.53,0.3299,-0.0153,9.2399,547.59,1977.82,0.6881,4.4335,19.3194,0.2088,8.421,-3.3168,-0.0023,-0.6651,-0.2559,-0.6897,-0.2218,-0.2953,-0.017,-0.1303,4.0472,1.2001,0.4958,0.9719,0.0269,0.0012,29164800.0
248,0.53,0.3597,-0.0143,9.21,546.62,1983.99,0.6537,4.4312,19.1594,0.2114,8.4267,-3.3083,-0.0022,-0.6351,-0.2437,-0.6736,-0.2673,-0.2994,-0.0174,-0.1304,4.0527,1.1844,0.4754,0.9716,0.0268,0.0016,29282400.0
249,0.53,0.3221,-0.0158,9.1814,542.43,1986.38,0.6467,4.4549,19.1386,0.2078,8.4101,-3.3187,-0.0022,-0.6355,-0.2541,-0.6693,-0.195,-0.3128,-0.0169,-0.1292,4.0577,1.1876,0.4809,0.9721,0.0263,0.0016,29400000.0
250,0.52,0.3201,-0.0148,9.1467,555.24,1999.84,0.6613,4.4565,19.0739,0.2106,8.4896,-3.3142,-0.0022,-0.6441,-0.2486,-0.6993,-0.2442,-0.2985,-0.0172,-0.1319,4.0655,1.2135,0.4787,0.9724,0.0259,0.0017,29517600.0
251,0.52,0.3167,-0.0157,9.1124,551.61,2000.0,0.6791,4.441,20.0079,0.2106,8.4506,-3.2944,-0.0023,-0.6538,-0.257,-0.6987,-0.2088,-0.2975,-0.0168,-0.1303,4.0823,1.1442,0.4941,0.9729,0.0253,0.0018,29635200.0
252,0.52,0.3274,-0.0151,9.0829,557.49,2000.0,0.6691,4.4482,19.4983,0.2039,8.4778,-3.3105,-0.0022,-0.6482,-0.2609,-0.7194,-0.2755,-0.2973,-0.0176,-0.1321,4.0931,1.1295,0.4869,0.9736,0.0246,0.0018,29752800.0
253,0.52,0.3283,-0.0159,9.0435,552.7,2000.0,0.6475,4.4807,18.7963,0.2155,8.5946,-3.3101,-0.002,-0.6206,-0.2391,-0.668,-0.2119,-0.2906,-0.0167,-0.1298,4.1057,1.2275,0.4559,0.9747,0.0234,0.0018,29870400.0
254,0.52,0.3268,-0.0131,9.02,545.69,2000.0,0.6593,4.4717,19.5763,0.2132,8.5184,-3.2863,-0.0021,-0.6401,-0.2469,-0.6855,-0.2322,-0.2953,-0.0169,-0.1306,4.1183,1.1347,0.4643,0.9754,0.0227,0.0018,29988000.0
255,0.52,0.3325,-0.0133,8.9924,554.96,2000.0,0.6525,4.4666,19.5695,0.2068,8.5676,-3.3003,-0.0021,-0.628,-0.2493,-0.723,-0.2718,-0.2936,-0.0176,-0.1314,4.1294,1.1636,0.4684,0.9759,0.0222,0.0018,30105600.0
256,0.52,0.388,-0.0138,8.9639,544.66,1983.5,0.6396,4.3031,18.2351,0.1995,8.1971,-3.1601,-0.0022,-0.6204,-0.2465,-0.7008,-0.2319,-0.2914,-0.0166,-0.1269,4.1387,1.1864,0.4658,0.9761,0.0221,0.0018,30223200.0
257,0.52,0.3367,-0.014,8.9406,528.37,1984.07,0.647,4.4685,18.6056,0.2018,8.4689,-3.3012,-0.0021,-0.6242,-0.2451,-0.7162,-0.2888,-0.3113,-0.0177,-0.1325,4.1488,1.2715,0.4668,0.9764,0.0218,0.0018,30340800.0
258,0.51,0.3386,-0.0157,8.918,539.1,2000.0,0.6575,4.474,19.1577,0.2158,8.4925,-3.2622,-0.0022,-0.6353,-0.2425,-0.6703,-0.2487,-0.3013,-0.0173,-0.1319,4.1588,1.2003,0.4623,0.9769,0.0213,0.0018,30458400.0
259,0.51,0.4028,-0.0133,8.8922,550.24,1971.69,0.6742,4.3832,19.1935,0.2076,8.2935,-3.1869,-0.0022,-0.6389,-0.2512,-0.6762,-0.1907,-0.2898,-0.0162,-0.1268,4.1687,1.1804,0.4606,0.9767,0.0213,0.0019,30576000.0
260,0.51,0.3288,-0.0142,8.8764,553.72,1971.69,0.684,4.4447,19.613,0.2072,8.4442,-3.243,-0.0023,-0.6601,-0.2579,-0.6808,-0.208,-0.3,-0.0168,-0.129,4.1784,1.1732,0.49,0.977,0.0209,0.002,30693600.0
261,0.51,0.3369,-0.015,8.8598,557.5,2000.0,0.6572,4.4612,19.2764,0.2064,8.4373,-3.259,-0.0022,-0.637,-0.2534,-0.7218,-0.262,-0.3084,-0.0174,-0.1323,4.1879,1.2127,0.4752,0.9775,0.0205,0.002,30811200.0
262,0.51,0.3523,-0.0156,8.8364,549.91,1991.79,0.6451,4.4573,18.8399,0.212,8.532,-3.2503,-0.002,-0.6174,-0.2466,-0.6744,-0.2313,-0.2958,-0.0167,-0.1299,4.1983,1.2012,0.4507,0.9775,0.0204,0.002,30928800.0
263,0.51,0.3844,-0.0129,8.826,564.66,1985.39,0.6618,4.4121,19.6517,0.2119,8.3738,-3.2148,-0.0021,-0.627,-0.2475,-0.6485,-0.1859,-0.2958,-0.016,-0.1268,4.2076,1.1378,0.4586,0.9775,0.0205,0.002,31046400.0
264,0.51,0.3414,-0.0142,8.7818,565.01,1993.6,0.6541,4.4915,19.9154,0.2159,8.5547,-3.2327,-0.0021,-0.628,-0.2384,-0.6764,-0.2649,-0.2959,-0.0174,-0.131,4.2193,1.1027,0.4448,0.9781,0.0198,0.002,31164000.0
265,0.51,0.3473,-0.0144,8.7591,557.94,2000.0,0.6679,4.4728,19.4319,0.2145,8.5217,-3.2364,-0.0022,-0.6329,-0.2515,-0.6726,-0.2141,-0.2966,-0.0167,-0.1292,4.2313,1.2167,0.4642,0.9784,0.0195,0.002,31281600.0
266,0.51,0.3498,-0.0157,8.7209,559.2,1998.96,0.6654,4.4822,19.3545,0.2131,8.5294,-3.2146,-0.0021,-0.6288,-0.2424,-0.6815,-0.1999,-0.2948,-0.0166,-0.1287,4.2442,1.1533,0.4493,0.9788,0.0191,0.0021,31399200.0
267,0.5,0.3941,-0.0143,8.6892,569.39,1991.55,0.6435,4.4648,19.8836,0.2149,8.5491,-3.2009,-0.002,-0.5995,-0.2296,-0.6971,-0.2442,-0.2886,-0.0171,-0.1292,4.2544,1.1687,0.4341,0.9787,0.0191,0.0022,31516800.0
268,0.5,0.4001,-0.0131,8.67,566.13,1992.01,0.6793,4.4719,20.3992,0.218,8.5017,-3.1959,-0.0022,-0.6458,-0.2433,-0.6623,-0.1971,-0.2941,-0.0163,-0.1293,4.2647,1.0924,0.4627,0.9789,0.0189,0.0022,31634400.0
269,0.5,0.4468,-0.0133,8.6566,545.22,1971.19,0.6728,4.3831,18.7712,0.1999,8.3242,-3.1494,-0.0022,-0.637,-0.2538,-0.6666,-0.2216,-0.2937,-0.0167,-0.1283,4.2754,1.1867,0.4685,0.979,0.0187,0.0022,31752000.0
270,0.5,0.3558,-0.0143,8.6285,543.44,1991.6,0.6852,4.4626,18.3077,0.213,8.465,-3.1702,-0.0023,-0.6531,-0.2471,-0.6698,-0.2191,-0.2966,-0.0167,-0.13,4.2861,1.3003,0.4718,0.9794,0.0184,0.0023,31869600.0
271,0.5,0.4239,-0.0107,8.6189,552.54,1977.31,0.6636,4.4319,19.9582,0.215,8.4268,-3.1553,-0.0021,-0.6178,-0.2375,-0.6364,-0.1896,-0.2911,-0.0163,-0.127,4.2974,1.0887,0.4448,0.9795,0.018,0.0025,31987200.0
272,0.5,0.37,-0.0122,8.5924,556.7,1986.62,0.6754,4.43,18.4652,0.2192,8.362,-3.107,-0.0022,-0.6434,-0.2394,-0.6693,-0.2368,-0.293,-0.0168,-0.1285,4.3082,1.2855,0.4499,0.9793,0.0181,0.0027,32104800.0
273,0.5,0.3624,-0.0156,8.553,553.22,2000.0,0.666,4.488,18.7206,0.2143,8.5211,-3.2005,-0.0022,-0.6199,-0.2438,-0.6789,-0.2394,-0.2969,-0.017,-0.1308,4.32,1.2843,0.449,0.9794,0.018,0.0027,32222400.0
274,0.5,0.3572,-0.0142,8.552,551.34,2000.0,0.6653,4.4811,19.7297,0.2079,8.5114,-3.1877,-0.0022,-0.6268,-0.256,-0.6875,-0.2652,-0.3027,-0.0176,-0.1316,4.3288,1.1476,0.4551,0.9797,0.0176,0.0027,32340000.0
275,0.5,0.3673,-0.0146,8.5136,563.99,2000.0,0.6838,4.4856,20.8827,0.2144,8.4539,-3.1414,-0.0023,-0.6469,-0.2493,-0.6861,-0.2341,-0.2997,-0.0169,-0.1307,4.3399,1.0105,0.4509,0.9803,0.017,0.0027,32457600.0
276,0.5,0.4003,-0.0106,8.5229,561.36,1985.68,0.6406,4.3556,18.8472,0.2065,8.2187,-3.0601,-0.0021,-0.6047,-0.24,-0.6549,-0.2284,-0.2997,-0.0164,-0.1271,4.3484,1.113,0.4334,0.9807,0.0166,0.0027,32575200.0
277,0.5,0.375,-0.015,8.4776,557.03,1983.92,0.6605,4.498,20.0019,0.2167,8.5371,-3.1627,-0.0021,-0.6118,-0.2364,-0.6359,-0.225,-0.2961,-0.0168,-0.1299,4.3604,1.0817,0.4357,0.9805,0.0167,0.0028,32692800.0
278,0.49,0.3787,-0.0147,8.4656,558.91,1998.24,0.6858,4.4919,19.9936,0.2135,8.4715,-3.1489,-0.0023,-0.6336,-0.2518,-0.6678,-0.2284,-0.2969,-0.0167,-0.13,4.3702,1.092,0.4452,0.9804,0.0167,0.0029,32810400.0
279,0.49,0.4284,-0.0146,8.4541,559.93,1997.03,0.6514,4.4945,19.6043,0.2203,8.5288,-3.129,-0.0021,-0.6175,-0.2367,-0.6543,-0.2497,-0.3001,-0.0172,-0.1301,4.3789,1.1575,0.4352,0.9803,0.0168,0.0029,32928000.0
280,0.49,0.4337,-0.0133,8.43,547.21,1981.94,0.6782,4.4321,17.4783,0.2107,8.3355,-3.1009,-0.0023,-0.6381,-0.2487,-0.6722,-0.2218,-0.2989,-0.0166,-0.1283,4.3875,1.4008,0.4531,0.98,0.0169,0.0031,33045600.0
281,0.49,0.4483,-0.0148,8.393,551.38,1968.59,0.6385,4.3483,19.498,0.2101,8.2573,-3.0348,-0.002,-0.5917,-0.2338,-0.6261,-0.2024,-0.288,-0.0161,-0.1254,4.3968,1.0812,0.422,0.9802,0.0168,0.0031,33163200.0
282,0.49,0.4281,-0.0128,8.3769,548.14,1963.29,0.6431,4.2994,18.44,0.1997,8.1471,-3.0134,-0.0021,-0.5954,-0.2402,-0.6752,-0.2141,-0.2916,-0.0161,-0.124,4.405,1.1993,0.4326,0.9799,0.017,0.0031,33280800.0
283,0.49,0.4998,-0.0111,8.3573,518.32,1919.65,0.6092,4.1832,16.9776,0.1968,7.9698,-2.898,-0.0019,-0.5598,-0.2197,-0.6587,-0.2082,-0.2751,-0.0155,-0.1203,4.4102,1.1952,0.3934,0.9793,0.0172,0.0034,33398400.0
