iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
66,0.81,0.429,-0.0067,14.4887,342.88,1584.52,0.3444,3.5275,12.3801,0.2045,6.7179,-3.5043,-0.0007,-0.4652,-0.1783,-0.6607,-0.2176,-0.2744,-0.015,-0.0853,3.671,1.3239,0.4099,0.7975,0.0149,0.0,7879200.0
67,0.81,0.398,-0.0063,14.4791,346.44,1604.71,0.3434,3.5973,11.6941,0.2055,6.4279,-3.5459,-0.0008,-0.4739,-0.1807,-0.68,-0.1947,-0.3159,-0.0148,-0.0851,3.6631,1.6019,0.3995,0.8072,0.0149,0.0,7996800.0
68,0.81,0.4585,-0.0059,14.417,349.31,1630.49,0.3421,3.6311,12.604,0.209,6.5312,-3.5857,-0.0008,-0.4801,-0.1876,-0.6786,-0.188,-0.3226,-0.0149,-0.0854,3.6554,1.5195,0.4241,0.8168,0.0149,0.0,8114400.0
69,0.81,0.3867,-0.0045,14.4003,348.52,1656.79,0.3499,3.6997,12.0209,0.2178,6.8569,-3.6433,-0.0008,-0.4813,-0.1839,-0.6883,-0.2226,-0.3055,-0.0155,-0.0886,3.6474,1.5395,0.4151,0.8271,0.0149,0.0,8232000.0
70,0.8,0.3723,-0.0042,14.3802,362.66,1682.74,0.3594,3.7465,12.6075,0.2248,7.0148,-3.6832,-0.0008,-0.4921,-0.1876,-0.7,-0.197,-0.3018,-0.0153,-0.0891,3.6379,1.5531,0.4272,0.8375,0.0149,0.0,8349600.0
71,0.8,0.4104,-0.0052,14.3272,366.33,1707.85,0.3622,3.8028,11.8875,0.2273,6.9807,-3.728,-0.0008,-0.5015,-0.1893,-0.6916,-0.199,-0.3167,-0.0155,-0.0899,3.6273,1.7486,0.4299,0.8493,0.0149,0.0,8467200.0
72,0.79,0.3876,-0.003,14.2832,367.57,1733.21,0.3769,3.855,12.6798,0.2243,7.1996,-3.7712,-0.0008,-0.5047,-0.1952,-0.7025,-0.1809,-0.3072,-0.0154,-0.0895,3.6176,1.6741,0.4374,0.8603,0.0149,0.0,8584800.0
73,0.79,0.3792,-0.0084,14.1984,386.29,1758.75,0.3738,3.9063,14.3598,0.2321,7.2716,-3.8206,-0.0008,-0.5086,-0.1968,-0.7375,-0.2419,-0.3161,-0.0164,-0.0929,3.6066,1.4487,0.4452,0.8733,0.0149,0.0,8702400.0
74,0.79,0.3994,-0.0062,14.1668,381.9,1761.15,0.3707,3.8767,12.5492,0.2227,7.1584,-3.7811,-0.0008,-0.4976,-0.1954,-0.723,-0.2074,-0.3232,-0.0159,-0.0897,3.596,1.6628,0.4438,0.8857,0.0149,0.0,8820000.0
75,0.79,0.3623,-0.0052,14.1436,388.45,1783.61,0.3952,4.024,14.2661,0.2358,7.6974,-3.9085,-0.0009,-0.5133,-0.1976,-0.7449,-0.2716,-0.3004,-0.0171,-0.0959,3.5872,1.5636,0.4458,0.8957,0.0151,0.0,8937600.0
76,0.78,0.3888,-0.0028,14.1095,398.69,1825.91,0.3766,4.0752,13.9856,0.2476,7.1488,-3.9595,-0.0009,-0.5311,-0.1968,-0.7516,-0.2171,-0.3748,-0.0166,-0.0956,3.5786,1.6588,0.4542,0.9068,0.0151,0.0,9055200.0
77,0.78,0.4254,-0.0029,13.9954,403.13,1850.1,0.3809,4.1366,14.6317,0.2438,7.2232,-3.9999,-0.0009,-0.5297,-0.2011,-0.7759,-0.252,-0.3788,-0.0171,-0.0977,3.5703,1.5789,0.4522,0.9171,0.0151,0.0,9172800.0
78,0.77,0.3653,-0.0068,13.954,411.14,1873.79,0.3947,4.1715,14.6407,0.2389,7.6068,-4.0444,-0.0009,-0.5252,-0.211,-0.7599,-0.2862,-0.3528,-0.0178,-0.0982,3.5613,1.6221,0.4761,0.9286,0.0151,0.0,9290400.0
