iteration,total_iterations,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps,iteration_time_s
48,30000,0.86,0.5309,-0.0042,15.1624,286.73,1152.94,0.2482,2.5459,10.8644,0.0755,4.8729,-2.6457,-0.0005,-0.3575,-0.1277,-0.5177,-0.1847,-0.2074,-0.0115,-0.0662,3.8621,0.5674,0.3248,0.5879,0.0,0.0,5762400.0,1.93
49,30000,0.86,0.5039,0.0006,15.1457,293.81,1178.68,0.2483,2.6029,11.37,0.0771,4.7384,-2.6954,-0.0006,-0.3709,-0.1301,-0.5137,-0.1136,-0.2407,-0.0108,-0.0653,3.8524,0.5509,0.3265,0.5992,0.0,0.0,5880000.0,1.93
50,30000,0.85,0.4644,0.0002,15.091,302.21,1205.16,0.2683,2.6587,11.3336,0.0792,5.1934,-2.7443,-0.0006,-0.3769,-0.1329,-0.5286,-0.13,-0.2029,-0.0112,-0.0669,3.8429,0.5848,0.3298,0.6102,0.0,0.0,5997600.0,1.91
51,30000,0.85,0.4876,-0.0049,14.9671,310.33,1230.39,0.2766,2.6977,11.3141,0.0812,5.377,-2.7889,-0.0006,-0.3782,-0.1338,-0.5297,-0.1523,-0.1973,-0.0116,-0.0686,3.8299,0.6238,0.3505,0.6246,0.0,0.0,6115200.0,1.93
52,30000,0.85,0.4345,0.0026,14.962,315.54,1253.64,0.2473,2.7682,12.2138,0.083,4.9323,-2.8452,-0.0006,-0.3814,-0.1367,-0.5557,-0.167,-0.263,-0.0121,-0.0689,3.8179,0.5691,0.3397,0.6378,0.0,0.0,6232800.0,1.97
53,30000,0.84,0.4351,0.0003,14.9211,319.68,1275.26,0.2776,2.8099,12.1675,0.0855,5.2897,-2.8797,-0.0006,-0.3953,-0.1396,-0.5526,-0.1356,-0.2401,-0.0118,-0.0692,3.8072,0.6064,0.3567,0.6504,0.0,0.0,6350400.0,1.92
54,30000,0.84,0.4228,-0.0043,14.8152,323.91,1296.31,0.279,2.8759,12.0982,0.0853,5.5504,-2.9306,-0.0006,-0.3896,-0.1425,-0.5485,-0.1489,-0.2258,-0.0123,-0.0704,3.7986,0.6484,0.35,0.6608,0.0,0.0,6468000.0,1.92
55,30000,0.84,0.4115,0.0031,14.8122,331.59,1320.32,0.2807,2.9227,12.5889,0.0861,5.5009,-2.9871,-0.0006,-0.4054,-0.1455,-0.5956,-0.1714,-0.2504,-0.0127,-0.0736,3.7893,0.6325,0.3618,0.6712,0.0,0.0,6585600.0,1.9
56,30000,0.83,0.4125,0.0,14.7482,341.8,1350.68,0.3007,2.9626,12.6178,0.0885,5.9134,-3.0291,-0.0006,-0.41,-0.1489,-0.5928,-0.1576,-0.2162,-0.0127,-0.0745,3.7798,0.6628,0.381,0.6822,0.0,0.0,6703200.0,1.91
57,30000,0.83,0.3757,0.0005,14.6732,348.77,1371.95,0.2967,3.01,13.2003,0.0936,5.7612,-3.072,-0.0007,-0.4103,-0.149,-0.5769,-0.1688,-0.2488,-0.0131,-0.0736,3.7677,0.6375,0.3929,0.6956,0.0,0.0,6820800.0,1.9
58,30000,0.82,0.3678,-0.0003,14.592,353.58,1397.81,0.2911,3.0726,13.2942,0.0926,5.7131,-3.1202,-0.0007,-0.4182,-0.1516,-0.6053,-0.1798,-0.2733,-0.0134,-0.0762,3.7557,0.6654,0.3898,0.7095,0.0,0.0,6938400.0,1.94
59,30000,0.82,0.3569,0.0144,14.565,362.21,1421.22,0.3177,3.1177,13.4876,0.0943,6.1941,-3.17,-0.0007,-0.4291,-0.1558,-0.623,-0.1604,-0.2338,-0.0133,-0.0767,3.7449,0.6756,0.4034,0.7225,0.0,0.0,7056000.0,1.91
60,30000,0.82,0.4121,0.011,14.5568,369.87,1442.61,0.3213,3.1611,13.9086,0.0964,6.1008,-3.2183,-0.0007,-0.4441,-0.1576,-0.6193,-0.1224,-0.2618,-0.0128,-0.0784,3.7336,0.6688,0.4187,0.7348,0.0,0.0,7173600.0,1.91
61,30000,0.82,0.4116,-0.0027,14.539,377.1,1467.68,0.319,3.2216,14.2191,0.0985,6.3003,-3.258,-0.0007,-0.4376,-0.1589,-0.6419,-0.1641,-0.2557,-0.0137,-0.0787,3.723,0.6709,0.4178,0.7466,0.0,0.0,7291200.0,2.05
62,30000,0.82,0.3147,0.0007,14.4328,384.51,1494.55,0.3308,3.2764,14.3278,0.1005,6.3194,-3.3062,-0.0007,-0.4535,-0.163,-0.6313,-0.1565,-0.2665,-0.0137,-0.0807,3.7113,0.6957,0.4224,0.7596,0.0,0.0,7408800.0,2.1
63,30000,0.82,0.3009,0.006,14.4283,389.24,1518.7,0.325,3.3347,14.6608,0.1016,6.3019,-3.3574,-0.0007,-0.4543,-0.166,-0.6506,-0.1929,-0.2893,-0.0144,-0.0822,3.6993,0.6955,0.4235,0.7732,0.0,0.0,7526400.0,2.09
64,30000,0.81,0.3132,0.0229,14.3896,395.81,1545.11,0.3396,3.3899,14.7692,0.1038,6.5493,-3.3986,-0.0007,-0.4659,-0.1682,-0.6681,-0.1687,-0.2734,-0.0142,-0.0835,3.6858,0.7197,0.4278,0.7882,0.0,0.0,7644000.0,1.97
65,30000,0.81,0.3287,-0.0023,14.3746,401.38,1560.22,0.3349,3.4291,14.8684,0.1039,6.7198,-3.4445,-0.0007,-0.4606,-0.1688,-0.6833,-0.2462,-0.2735,-0.0155,-0.0863,3.6739,0.7428,0.4469,0.8013,0.0,0.0,7761600.0,1.9
66,30000,0.81,0.274,-0.0026,14.2851,408.48,1584.81,0.3468,3.4899,15.4451,0.1061,6.6843,-3.4865,-0.0008,-0.4726,-0.1727,-0.6809,-0.2036,-0.2903,-0.0151,-0.0862,3.665,0.7193,0.4456,0.8111,0.0,0.0,7879200.0,2.0
67,30000,0.81,0.2374,-0.0029,14.2673,416.7,1604.8,0.3621,3.5478,15.7533,0.1077,7.023,-3.532,-0.0008,-0.4826,-0.1759,-0.7097,-0.184,-0.27,-0.015,-0.0866,3.6559,0.7193,0.4467,0.8209,0.0,0.0,7996800.0,1.91
